TOTAL REVENUE BY STATE,,,
Row Labels,SUM of total_revenue,,
fl,82944,,
ca,73145,,
pa,53906,,
tx,45912,,
ga,34749,,
nj,27783,,
il,23478,,
nc,21845,,
oh,21574,,
tn,20895,,
mo,16011,,
mi,15511,,
nv,12685,,
va,12025,,
md,11157,,
Grand Total,473620,,
,,,
,,,
,,,
,,,
,,,
,,,
REVENUE BY YEAR SALE AND QUARTER,,,
SUM of total_revenue,Column Labels,,
Row Labels,2014,2015,Grand Total
1,207,349936,350143
2,,153834,153834
4,53519,,53519
3,,1291,1291
Grand Total,53726,505061,558787
,,,
,,,
,,,
REVENUE SHARE BY PERFORMANCE TIER,,,
Row Labels,SUM of total_revenue,,
High Margin,30764,,
Low Margin,478871,,
Medium Margin,49152,,
Grand Total,558787,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TOP 10 MAKE BY REVENUE,,,
Row Labels,SUM of total_revenue,,
Ford,93993,,
Chevrolet,60585,,
Nissan,54017,,
Toyota,39966,,
Dodge,30952,,
Honda,27351,,
Hyundai,21830,,
BMW,20792,,
Kia,18082,,
Chrysler,17483,,
Grand Total,385051,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
MODELS BY REVENUE,,,
Row Labels,SUM of total_revenue,,
Altima,19349,,
F-150,14478,,
Fusion,12945,,
Camry,12549,,
Escape,11893,,
Focus,10399,,
Unknown,10398,,
Accord,9155,,
3 Series,8204,,
Impala,7956,,
Grand Total,117326,,
,,,
,,,
MONTHLY TRENDS,,,
Row Labels,SUM of total_revenue,,
1,140814,,
2,163052,,
3,46277,,
4,1450,,
5,52447,,
6,99937,,
7,1291,,
12,53519,,
Grand Total,558787,,
,,,
,,,
,,,
UNIT SOLD BY PERFOMANCE TIER AND MAKE,,,
Row Labels,Count of units_sold,,
Medium Margin,49152,,
Acura,586,,
Aston Martin,3,,
Audi,508,,
Bentley,9,,
BMW,1854,,
Buick,489,,
Cadillac,817,,
Chevrolet,5549,,
Chrysler,1314,,
Dodge,2802,,
FIAT,71,,
Ford,6690,,
ford truck,1,,
GMC,1013,,
Honda,2888,,
HUMMER,127,,
Hyundai,1429,,
hyundai tk,1,,
Infiniti,999,,
Isuzu,13,,
Jaguar,99,,
jeep,1511,,
Kia,1123,,
Land Rover,118,,
landrover,8,,
Lexus,997,,
Lincoln,507,,
Maserati,13,,
Mazda,821,,
mazda tk,1,,
mercedes,9,,
Mercedes-Benz,1192,,
Mercury,248,,
MINI,349,,
Mitsubishi,473,,
Nissan,5703,,
Oldsmobile,27,,
plymouth,5,,
Pontiac,582,,
Porsche,116,,
Ram,249,,
Saab,56,,
Saturn,380,,
Scion,190,,
smart,33,,
Subaru,423,,
Suzuki,151,,
Tesla,1,,
Toyota,3603,,
Unknown,1168,,
Volkswagen,1475,,
Volvo,357,,
vw,1,,
Grand Total,49152,,
